Time,EEG_C3,EEG_C4,EEG_O1,EEG_O2,EEG_F3,EEG_F4,EEG_P3,EEG_P4,ECG_I,ECG_II,ECG_III
0.0,1.899629585579794e-05,-4.8887269873989036e-05,2.1559550355735284e-06,3.184162336297648e-05,3.108460919515175e-06,-2.8362087550591638e-05,-3.85670713290656e-06,3.4140632415228857e-05,1.3244473471551674e-05,5.242768400300679e-05,-2.3815530403491315e-05
0.002,2.5452313236833684e-05,-4.823760795795841e-05,-5.38924093257238e-06,3.4584852963828786e-05,4.483700529595791e-06,-3.117093383977691e-05,-5.551806577492666e-06,3.2672977246671025e-05,-2.8530820990378165e-05,0.00012204368590721192,4.458573581235281e-05
0.004,3.116082803081824e-05,-4.648857980645393e-05,-1.0323454880280969e-05,3.59706900953984e-05,5.705222784205247e-06,-3.423870586522107e-05,-1.0283724099990076e-05,3.1466663286990626e-05,-3.6652677257524334e-05,-1.2348332599815962e-05,3.401519028589836e-06
0.006,3.7121823639876536e-05,-4.2692650496105925e-05,-1.5631067309903494e-05,3.868229238483272e-05,6.17342594709033e-06,-3.633655076313376e-05,-1.2786948944454036e-05,2.9379069231873043e-05,-1.9975176538842177e-05,-7.988503340080935e-05,3.894442658382668e-05
0.008,3.999797577695181e-05,-3.922124808552868e-05,-2.5488948128116512e-05,4.3354301001152157e-05,7.858332472112753e-06,-3.779379934456608e-05,-1.8431522464865507e-05,2.6353075308878928e-05,6.505314488943656e-06,-3.681458751546811e-05,2.9006011041397444e-05
0.01,4.230943668391388e-05,-3.577792702104986e-05,-3.240797348501311e-05,4.771361297998099e-05,9.405345556399462e-06,-3.866612590752567e-05,-2.3412280979978893e-05,2.4805672831809053e-05,9.506377594973278e-05,0.00012466521341047588,9.638605475584394e-05
0.012,4.317192662263774e-05,-3.054807205966114e-05,-4.090480716934568e-05,5.317801817337281e-05,1.090118914073317e-05,-3.740457731724328e-05,-2.911573087614673e-05,2.163080872427141e-05,-0.00016304580000115257,-5.458374975489703e-05,-1.0780548455644143e-05
0.014,4.403315138109553e-05,-2.59235268620476e-05,-4.6469165049630516e-05,5.89757352834347e-05,1.3312979635929596e-05,-3.64391514542214e-05,-3.41879280654153e-05,1.836087238609187e-05,-4.1080721001442245e-05,6.496556024533306e-05,-1.4400283026679075e-05
0.016,4.37435083233856e-05,-2.358539912722215e-05,-5.5299375781784745e-05,6.273838493473903e-05,1.5117698637977707e-05,-3.4626653748448825e-05,-4.091378739286993e-05,1.5753975495197586e-05,-5.270803812184011e-05,3.2713814597622934e-05,-4.824939711791231e-05
0.018000000000000002,4.006049285509976e-05,-1.888764588675606e-05,-6.402959994422685e-05,6.61823341737187e-05,1.7386643948718082e-05,-3.132344592126131e-05,-4.272641493494669e-05,1.306411184842196e-05,-6.37526998323377e-05,1.8550405345504768e-05,3.9064950435323004e-05
0.02,3.8618229607510876e-05,-1.5791229608959953e-05,-7.182189679623687e-05,6.955028023316185e-05,1.9827959579523996e-05,-2.7105499169303757e-05,-4.5681891186023745e-05,1.3117076149459935e-05,4.1274073539285e-05,-5.0987297854707334e-05,4.144123147878015e-05
0.022,3.531700485407431e-05,-1.3299992764858428e-05,-7.88439351412251e-05,6.989752764865503e-05,2.1589283636790093e-05,-2.4920518786085426e-05,-4.642990094721609e-05,1.0234258967845375e-05,8.012025006331863e-05,1.4496753623383799e-05,3.9622725299226936e-05
0.024,3.329384545333025e-05,-1.0586993660628198e-05,-8.416712810169234e-05,7.060445871752016e-05,2.4223319138770147e-05,-2.2433526303825777e-05,-4.6664379643776396e-05,9.798669595116657e-06,-9.553082283353934e-05,4.692183130378486e-05,-1.8896059404085238e-05
0.026000000000000002,3.063847212702333e-05,-8.90114070973886e-06,-9.070118060127068e-05,6.770202194601161e-05,2.631986181743515e-05,-1.8297120132188507e-05,-4.556533999791967e-05,9.295272057364263e-06,-3.258012363338207e-05,-9.167058176258897e-05,6.195195026142971e-06
0.028,2.716692458132524e-05,-6.449328578941306e-06,-9.43312526673605e-05,6.390548589651355e-05,2.7783190359318774e-05,-1.6220223761855393e-05,-4.172338581284675e-05,9.969355329804101e-06,-5.2719257349773e-05,-4.917167414547317e-05,4.915810956434016e-05
0.03,2.544406643170316e-05,-5.452385142673388e-06,-9.750575201255633e-05,5.8844309752571745e-05,2.884199763901742e-05,-1.5887075645274308e-05,-4.164601687847917e-05,9.642350856540735e-06,-7.920535327432442e-05,-1.8927159447893535e-05,4.2057835710615904e-05
